path	taxid
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;	1674
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;	1697
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;	1701
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;	1702
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;	1703
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Silanimonas;	1706
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;	1707
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;	1708
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;	1710
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xylella;	1711
Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;	1715
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus;	1719
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;	11329
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pontibacillus;	11508
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Terribacillus;	11509
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Jeotgalibacillus;	11512
Bacteria;Marinimicrobia (SAR406 clade);	11556
Bacteria;Poribacteria;	11570
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella;	11578
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Actibacterium;	11580
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;	11581
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Halocynthiibacter;	11582
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;	11583
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;	11584
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium;	11585
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseivivax;	11586
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thioclava;	11587
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Sneathiella;	11597
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges;	11650
Eukaryota;Archaeplastida;	11711
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;	11715
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Coleochaetophyceae;	11716
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;	11718
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;	11720
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Prasinophytae;	11721
Eukaryota;Archaeplastida;Rhodophyceae;Bangiales;	11723
Eukaryota;Archaeplastida;Rhodophyceae;Bangiales;Bangia;	11724
Eukaryota;Archaeplastida;Rhodophyceae;Florideophycidae;	11728
Eukaryota;Cryptophyceae;Cryptomonadales;Guillardia;	11738
Eukaryota;Cryptophyceae;Goniomonas;	11739
Eukaryota;Cryptophyceae;Kathablepharidae;Leucocryptos;	11742
Eukaryota;Excavata;Metamonada;Fornicata;Diplomonadida;Giardiinae;Giardia;	11764
Eukaryota;Excavata;Metamonada;Parabasalia;	11768
Eukaryota;Excavata;Metamonada;Parabasalia;Trichomonadea;Trichomonas;	11770
Eukaryota;Excavata;Metamonada;Parabasalia;Tritrichomonadea;Histomonas;	11772
Eukaryota;Haptophyta;Prymnesiophyceae;Isochrysidales;Emiliania;	11779
Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales;	11781
Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulina;	11782
Eukaryota;Incertae Sedis;Ancyromonadida;	11785
Eukaryota;Incertae Sedis;Apusomonadidae;	11788
Eukaryota;Incertae Sedis;Apusomonadidae;Amastigomonas;	11789
Eukaryota;Incertae Sedis;Mantamonas;	11794
